127.0.0.1 - - [11/Feb/2020:22:26:39 +0530] "GET / HTTP/1.1" 404 705
0:0:0:0:0:0:0:1 - - [11/Feb/2020:22:26:44 +0530] "GET /RightAtHome/ HTTP/1.1" 200 191944
0:0:0:0:0:0:0:1 - - [11/Feb/2020:22:26:46 +0530] "GET /favicon.ico HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [11/Feb/2020:22:31:31 +0530] "GET /RightAtHome/ HTTP/1.1" 200 191911
0:0:0:0:0:0:0:1 - - [11/Feb/2020:22:34:13 +0530] "GET /RightAtHome/ HTTP/1.1" 200 192637
0:0:0:0:0:0:0:1 - - [11/Feb/2020:22:34:50 +0530] "GET /RightAtHome/ HTTP/1.1" 200 192624
0:0:0:0:0:0:0:1 - - [11/Feb/2020:22:40:06 +0530] "GET /RightAtHome/ HTTP/1.1" 200 192611
0:0:0:0:0:0:0:1 - - [11/Feb/2020:22:42:52 +0530] "GET /RightAtHome/ HTTP/1.1" 200 192611
0:0:0:0:0:0:0:1 - - [11/Feb/2020:22:43:34 +0530] "GET /RightAtHome/ HTTP/1.1" 200 192611
0:0:0:0:0:0:0:1 - - [11/Feb/2020:22:44:27 +0530] "GET /RightAtHome/ HTTP/1.1" 200 192628
0:0:0:0:0:0:0:1 - - [11/Feb/2020:22:48:33 +0530] "GET /RightAtHome/ HTTP/1.1" 200 192673
