127.0.0.1 - - [09/Feb/2020:23:08:12 +0530] "GET / HTTP/1.1" 404 705
0:0:0:0:0:0:0:1 - - [09/Feb/2020:23:08:16 +0530] "GET /RightAtHome/ HTTP/1.1" 200 319036
0:0:0:0:0:0:0:1 - - [09/Feb/2020:23:10:30 +0530] "GET /RightAtHome/ HTTP/1.1" 200 319489
0:0:0:0:0:0:0:1 - - [09/Feb/2020:23:12:23 +0530] "GET /RightAtHome/ HTTP/1.1" 200 319758
0:0:0:0:0:0:0:1 - - [09/Feb/2020:23:15:00 +0530] "GET /RightAtHome/ HTTP/1.1" 200 320078
0:0:0:0:0:0:0:1 - - [09/Feb/2020:23:16:47 +0530] "GET /RightAtHome/ HTTP/1.1" 200 320061
0:0:0:0:0:0:0:1 - - [09/Feb/2020:23:17:10 +0530] "GET /RightAtHome/popper.min.js.map HTTP/1.1" 404 734
0:0:0:0:0:0:0:1 - - [09/Feb/2020:23:17:11 +0530] "GET /RightAtHome/bootstrap.min.css.map HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [09/Feb/2020:23:17:43 +0530] "GET /RightAtHome/ HTTP/1.1" 200 320061
0:0:0:0:0:0:0:1 - - [09/Feb/2020:23:17:43 +0530] "GET /RightAtHome/popper.min.js.map HTTP/1.1" 404 734
0:0:0:0:0:0:0:1 - - [09/Feb/2020:23:17:43 +0530] "GET /RightAtHome/bootstrap.min.css.map HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [09/Feb/2020:23:20:24 +0530] "GET /RightAtHome/ HTTP/1.1" 200 320071
0:0:0:0:0:0:0:1 - - [09/Feb/2020:23:20:24 +0530] "GET /RightAtHome/popper.min.js.map HTTP/1.1" 404 734
0:0:0:0:0:0:0:1 - - [09/Feb/2020:23:20:24 +0530] "GET /RightAtHome/bootstrap.min.css.map HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [09/Feb/2020:23:22:00 +0530] "GET /RightAtHome/ HTTP/1.1" 200 320071
0:0:0:0:0:0:0:1 - - [09/Feb/2020:23:22:01 +0530] "GET /RightAtHome/popper.min.js.map HTTP/1.1" 404 734
0:0:0:0:0:0:0:1 - - [09/Feb/2020:23:22:01 +0530] "GET /RightAtHome/bootstrap.min.css.map HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [09/Feb/2020:23:22:47 +0530] "GET /RightAtHome/ HTTP/1.1" 200 320080
0:0:0:0:0:0:0:1 - - [09/Feb/2020:23:22:47 +0530] "GET /RightAtHome/popper.min.js.map HTTP/1.1" 404 734
0:0:0:0:0:0:0:1 - - [09/Feb/2020:23:22:47 +0530] "GET /RightAtHome/bootstrap.min.css.map HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [09/Feb/2020:23:23:10 +0530] "GET /RightAtHome/ HTTP/1.1" 200 320071
0:0:0:0:0:0:0:1 - - [09/Feb/2020:23:23:23 +0530] "GET /RightAtHome/popper.min.js.map HTTP/1.1" 404 734
0:0:0:0:0:0:0:1 - - [09/Feb/2020:23:23:23 +0530] "GET /RightAtHome/bootstrap.min.css.map HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [09/Feb/2020:23:24:39 +0530] "GET /RightAtHome/ HTTP/1.1" 200 320095
